,area,buildtime,room_num,hall_num,floor,dire,exemption of business tax,exemption of double tax,quality education,distance,loc
152,75.0,2014,2.0,2.0,2.0,1.0,0.0,1.0,0.0,5000,3.0
153,89.1,2015,2.0,2.0,2.0,2.0,1.0,0.0,0.0,5000,64.0
154,81.5,2012,2.0,2.0,1.0,2.0,0.0,1.0,1.0,5000,12.0
155,58.0,2015,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1190,23.0
156,62.0,2013,1.0,1.0,3.0,1.0,0.0,1.0,0.0,5000,65.0
157,93.0,2006,2.0,2.0,3.0,1.0,0.0,1.0,1.0,1000,33.0
158,84.0,2014,2.0,2.0,2.0,2.0,0.0,1.0,0.0,5000,32.0
159,103.0,2005,2.0,2.0,2.0,1.0,1.0,0.0,1.0,227,30.0
160,89.0,2013,2.0,2.0,3.0,2.0,0.0,1.0,0.0,5000,36.0
161,77.9,2010,2.0,2.0,3.0,2.0,0.0,1.0,1.0,552,22.0
162,125.24,2007,3.0,2.0,2.0,2.0,1.0,0.0,1.0,989,33.0
163,117.0,2007,3.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,66.0
164,69.23,1987,2.0,1.0,1.0,2.0,0.0,1.0,0.0,426,26.0
165,88.7,2009,3.0,2.0,2.0,1.0,0.0,1.0,0.0,5000,12.0
166,72.16,1996,2.0,1.0,3.0,1.0,0.0,0.0,0.0,5000,67.0
167,42.21,1992,1.0,1.0,1.0,1.0,0.0,1.0,1.0,434,51.0
168,296.39,2015,3.0,2.0,3.0,2.0,0.0,1.0,0.0,337,13.0
169,81.9,2008,2.0,2.0,1.0,1.0,0.0,1.0,1.0,5000,19.0
170,74.25,2005,2.0,2.0,2.0,2.0,0.0,1.0,0.0,793,59.0
171,79.0,2015,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1190,23.0
172,69.23,1987,2.0,1.0,3.0,2.0,0.0,1.0,0.0,426,26.0
173,154.0,2006,3.0,2.0,1.0,1.0,1.0,0.0,1.0,439,13.0
174,93.9,2007,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,54.0
175,32.4,1984,1.0,0.0,2.0,1.0,0.0,1.0,1.0,5000,16.0
176,80.0,2014,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1197,23.0
177,117.4,2010,3.0,2.0,2.0,1.0,0.0,1.0,0.0,333,40.0
178,89.7,2013,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,20.0
179,58.68,2015,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1190,23.0
180,122.03,2006,3.0,2.0,3.0,2.0,0.0,1.0,1.0,829,23.0
181,71.13,2014,2.0,1.0,1.0,2.0,1.0,0.0,0.0,5000,23.0
182,89.97,2007,2.0,2.0,1.0,2.0,0.0,1.0,1.0,5000,68.0
183,60.0,2011,2.0,2.0,2.0,2.0,0.0,1.0,0.0,5000,3.0
184,93.9,2007,2.0,2.0,1.0,2.0,0.0,1.0,1.0,5000,45.0
185,98.3,2016,3.0,2.0,3.0,1.0,1.0,0.0,1.0,643,12.0
