area,buildtime,room_num,hall_num,floor,dire,exemption of business tax,exemption of double tax,quality education,distance,loc,price
114,2000,3,2,2,2,1,0,0,583,21,57018
125,2007,3,2,2,2,0,1,1,627,23,24800
81,2012,2,2,2,2,0,1,1,5000,12,38025
49.2,1982,2,1,2,1,1,0,1,593,21,48374
82.14,2015,3,2,2,2,1,0,0,5000,9,30923
82,2016,3,2,3,2,1,0,0,5000,7,8110
91,1996,3,2,2,2,0,1,1,5000,77,21978
97,2017,2,2,3,2,1,0,1,5000,61,41237
89,2018,3,2,3,2,0,1,0,5000,78,33708
88,2008,2,2,3,2,0,1,1,5000,39,26136
89,2011,3,2,3,2,0,1,1,5000,39,24157
270,2008,4,2,3,2,1,0,1,588,79,118519
98.06,2007,3,2,1,2,0,1,1,5000,61,38752
280,2006,4,2,2,1,0,1,1,439,13,171429
94.6,2006,2,2,2,1,0,1,1,321,49,81395
90.11,2016,3,2,2,2,0,1,1,5000,61,55323
75.21,2005,2,2,2,2,0,1,1,1010,59,35899
66,1999,2,1,1,1,0,1,0,741,44,43182
71.08,1996,2,2,3,2,0,1,0,5000,59,34468
58,1984,2,1,2,1,0,1,1,5000,16,22414
135.4,2005,5,3,3,1,0,1,1,647,12,62408
84.7,2012,3,2,2,2,0,1,0,5000,61,37780
61,2010,2,2,2,2,0,1,0,5000,33,29180
106,2005,2,2,3,1,0,1,1,326,6,80189
71,2013,2,2,2,2,1,0,0,980,32,33803
129.56,2015,3,2,2,1,0,1,0,5000,10,23047
98.4,2006,2,2,2,2,0,1,0,414,40,64024
129.9,2007,3,2,2,1,0,1,0,450,54,68514
70,2016,2,2,3,2,1,0,0,5000,3,8286
115.63,2008,3,2,2,2,0,1,0,5000,12,36323
89.2,2008,2,2,2,2,0,1,1,5000,80,57175
28,2014,2,2,2,2,0,1,1,5000,81,12857
77,2014,2,2,3,2,1,0,0,5000,33,27013
340,2012,4,2,3,2,1,0,0,694,25,205882
90.1,2012,2,2,2,2,0,1,1,5000,61,41953
455,2006,5,3,3,2,0,1,1,382,13,167033
135.2,2009,3,2,2,2,0,1,1,5000,82,73964
95,2008,3,2,3,5,0,1,1,5000,61,33474
97.8,2014,2,2,2,2,0,1,0,5000,70,32720
592,2010,5,3,3,2,0,1,0,694,25,219595
32,2000,2,2,2,1,0,1,1,5000,83,18438
79.22,2013,2,2,3,2,0,1,0,5000,33,25499
145.02,2006,3,2,1,2,0,1,1,274,84,91711
69.96,2015,2,1,3,1,0,1,0,5000,23,26444
47.6,1998,1,1,1,1,0,0,1,750,21,57353
59.2,2014,1,1,3,1,1,0,1,5000,33,27872
82,2015,2,2,2,2,0,1,1,316,85,42439
65,1995,2,1,2,1,0,1,1,5000,45,35385
89.68,2001,2,2,1,1,0,1,1,879,52,34567
75,2010,2,2,2,2,0,1,1,5000,39,28667
117,2012,3,2,2,2,0,1,0,447,23,35897
123.46,2009,3,2,1,2,0,1,0,5000,52,44549
142,2009,4,2,1,2,0,1,0,1156,30,52817
93,2010,3,2,2,2,0,1,0,5000,81,30645
75.1,1998,2,1,3,1,0,1,0,980,40,50599
69.2,1996,2,1,3,2,0,1,1,1003,74,38873
235,2002,3,2,3,7,1,0,0,995,25,102128
73.6,1996,2,1,2,1,0,1,0,5000,10,20897
89.6,2009,2,2,1,2,0,1,1,5000,12,36830
79,2012,2,2,3,2,0,1,1,5000,18,28481
74,2006,2,2,3,2,0,1,1,918,54,52027
41.04,1994,1,1,1,1,1,0,0,349,42,52388
112.7,2004,3,2,2,1,0,1,1,5000,53,73647
171,2011,4,3,1,2,0,1,1,5000,23,44444
114,2009,2,2,3,2,0,1,1,682,12,28070
108.1,2012,3,2,3,1,0,1,1,643,12,38853
128,2001,3,2,3,2,0,1,0,536,6,74219
87.1,1996,2,2,2,1,0,1,1,5000,37,57979
145,2006,3,2,2,1,0,1,1,274,84,96552
93.6,2012,3,1,3,2,0,1,1,5000,12,39530
118,2005,2,2,3,2,0,1,1,657,79,84746
69,2010,2,2,2,1,0,1,0,5000,12,39855
145.1,2001,3,2,2,1,0,1,1,743,8,72364
77.2,2013,2,2,2,1,0,1,0,5000,33,27850
125,2005,2,2,2,2,0,1,0,721,6,67200
55,1999,1,2,2,1,0,1,1,652,74,40545
202,2002,3,2,3,2,0,1,1,372,13,142574
109,2018,3,2,2,2,1,0,0,677,86,100917
220.6,2015,3,2,3,2,1,0,0,436,87,149592
88,2008,2,2,3,2,0,1,1,5000,39,28409
95,2013,2,2,2,2,0,1,0,807,77,31579
30,2009,2,2,2,2,0,1,1,781,66,22797
47.4,1990,2,0,2,1,0,1,1,641,37,54852
145.6,2013,3,2,3,2,0,1,0,883,81,45330
48,1999,2,1,2,1,0,1,1,327,44,44792
118.94,2015,3,2,1,1,1,0,1,354,60,37834
95,2010,2,2,2,2,0,1,0,5000,58,14295
56.6,2004,1,1,3,1,0,1,0,5000,33,37633
145,2000,3,2,2,1,0,1,0,5000,88,58621
105.4,2009,2,2,3,2,0,1,0,333,40,59772
71.8,2015,1,2,1,1,1,0,1,5000,61,34123
85.96,2008,2,2,3,2,0,1,0,5000,52,37808
88.93,2010,2,2,1,2,0,0,1,684,49,87709
124.28,2002,3,2,2,2,0,1,0,214,51,69199
99.4,2006,2,2,3,2,0,1,1,5000,89,97586
78,2015,2,2,3,2,0,1,1,5000,61,25641
85,2016,3,2,1,2,1,0,0,5000,90,24235
91.82,1998,2,2,3,1,0,1,1,5000,35,39207
